split,accuracy,roc_auc,f1,n_features
0,0.6541533546325878,0.7933521488089769,0.6454577396456138,3900
1,0.6637380191693291,0.8009030067334225,0.6526764734731517,3989
2,0.6445686900958466,0.780094979023977,0.6264921330138721,3990
3,0.6461661341853036,0.7828807241746539,0.6326281411018222,4007
4,0.6309904153354633,0.7763820698384182,0.6184455165735597,3993
5,0.65814696485623,0.7888537020213877,0.646836186176913,3991
6,0.6238019169329073,0.7741398639705758,0.6097921190465008,4168
7,0.6549520766773163,0.7902997376721208,0.6382349449428015,4080
8,0.6613418530351438,0.7961417217010823,0.6452372636325453,3811
9,0.6381789137380192,0.7768945618852223,0.6215547938515641,3960
