split,accuracy,roc_auc,f1,n_features,n_unique_motifs
0,0.5,0.5069171540657419,0.3333333333333333,6093,55
1,0.5,0.49893418666448913,0.3333333333333333,2477,56
2,0.5,0.5074300714171489,0.3333333333333333,2585,56
3,0.5,0.5026590043789363,0.3333333333333333,1941,56
4,0.5,0.4999880914711117,0.3333333333333333,3276,56
5,0.5,0.5053256642407292,0.3333333333333333,2311,55
6,0.5,0.4978751782026287,0.3333333333333333,2748,55
7,0.5,0.5023842576052969,0.3333333333333333,2579,55
8,0.5,0.49973120749080485,0.3333333333333333,2417,54
9,0.5,0.5082390007723531,0.3333333333333333,2609,56
